,0
1825,5359
1826,5360
1827,5361
1828,5362
1829,5366
1830,5376
1831,5377
1832,5378
1833,5379
1834,5383
1835,5394
1836,5395
1837,5396
1838,5398
1839,5399
1840,5409
1841,5410
1842,5412
1843,5415
1844,5420
1845,5421
1846,5422
1847,5425
1848,5426
1849,5427
1850,5428
1851,5430
1852,5431
1853,5432
1854,5434
1855,5436
1856,5437
1857,5439
1858,5440
1859,5441
1860,5442
1861,5443
1862,5444
1863,5446
1864,5447
1865,5449
1866,5450
1867,5451
1868,5453
1869,5454
1870,5458
1871,5459
1872,5462
1873,5463
1874,5464
1875,5467
1876,5468
1877,5469
1878,5474
1879,5475
1880,5476
1881,5478
1882,5480
1883,5481
1884,5482
1885,5487
1886,5488
1887,5489
1888,5491
1889,5494
1890,5501
1891,5502
1892,5503
1893,5506
1894,5507
1895,5517
1896,5518
1897,5519
1898,5520
1899,5524
1900,5537
1901,5538
1902,5539
1903,5554
1904,5555
1905,5591
1906,5599
1907,5606
1908,5613
1909,5614
1910,5623
1911,5624
1912,5647
1913,5662
1914,5663
1915,5678
1916,5679
1917,5680
1918,5694
1919,5695
1920,5696
1921,5697
1922,5711
1923,5712
1924,5713
1925,5726
1926,5727
1927,5738
1928,5739
1929,5748
1930,5749
1931,5750
1932,5756
1933,5757
1934,5763
1935,5764
1936,5766
1937,5771
1938,5772
1939,5773
1940,5781
1941,5782
1942,5783
1943,5792
1944,5793
1945,5805
1946,5806
1947,5819
1948,5820
1949,5821
1950,5835
1951,5836
1952,5837
1953,5838
1954,5852
1955,5853
1956,5854
1957,5855
1958,5856
1959,5869
1960,5870
1961,5871
1962,5872
1963,5884
1964,5885
1965,5896
1966,5897
1967,5899
1968,5905
1969,5906
1970,5907
1971,5908
1972,5914
1973,5915
1974,5916
1975,5921
1976,5922
1977,5923
1978,5924
1979,5928
1980,5929
1981,5930
1982,5931
1983,5933
1984,5938
1985,5939
1986,5940
1987,5941
1988,5942
1989,5950
1990,5951
1991,5962
1992,5963
1993,5964
1994,5977
1995,5978
1996,5979
1997,5980
1998,5993
1999,5994
2000,5995
2001,5996
2002,5997
2003,6009
2004,6010
2005,6011
2006,6012
2007,6014
2008,6026
2009,6027
2010,6028
2011,6030
2012,6042
2013,6043
2014,6054
2015,6055
2016,6057
2017,6058
2018,6063
2019,6064
2020,6065
2021,6066
2022,6069
2023,6072
2024,6073
2025,6075
2026,6076
2027,6079
2028,6080
2029,6082
2030,6086
2031,6087
2032,6088
2033,6089
2034,6090
2035,6091
2036,6096
2037,6097
2038,6099
2039,6100
2040,6101
2041,6102
2042,6108
2043,6109
2044,6120
2045,6121
2046,6122
2047,6134
2048,6135
2049,6136
2050,6138
2051,6150
2052,6151
2053,6152
2054,6153
2055,6155
2056,6167
2057,6168
2058,6169
2059,6172
2060,6173
2061,6184
2062,6185
2063,6186
2064,6188
2065,6199
2066,6200
2067,6202
2068,6204
2069,6211
2070,6212
2071,6213
2072,6215
2073,6216
2074,6217
2075,6220
2076,6221
2077,6222
2078,6223
2079,6224
2080,6225
2081,6226
2082,6227
2083,6230
2084,6231
2085,6233
2086,6234
2087,6237
2088,6238
2089,6239
2090,6240
2091,6241
2092,6244
2093,6245
2094,6247
2095,6248
2096,6249
2097,6253
2098,6254
2099,6255
2100,6258
2101,6259
2102,6260
2103,6266
2104,6268
2105,6270
2106,6271
2107,6278
2108,6279
2109,6280
2110,6281
2111,6292
2112,6293
2113,6294
2114,6296
2115,6297
2116,6308
2117,6309
2118,6310
2119,6313
2120,6314
2121,6325
2122,6326
2123,6327
2124,6331
2125,6342
2126,6343
2127,6344
2128,6346
2129,6357
2130,6358
2131,6360
2132,6362
2133,6363
2134,6368
2135,6369
2136,6370
2137,6373
2138,6374
2139,6375
2140,6376
2141,6378
2142,6379
2143,6380
2144,6381
