tile_id,x1,y1,x2,y2
606,208400,569130,213360,574090
607,213360,564170,218320,569130
608,208400,574090,213360,579050
609,208400,579050,213360,584010
610,213360,574090,218320,579050
611,218320,579050,223280,584010
612,223280,579050,228240,584010
613,223280,574090,228240,579050
614,218320,564170,223280,569130
615,228240,564170,233200,569130
616,238160,574090,243120,579050
617,243120,579050,248080,584010
618,238160,569130,243120,574090
619,243120,569130,248080,574090
620,243120,564170,248080,569130
621,228240,544330,233200,549290
622,228240,549290,233200,554250
623,233200,549290,238160,554250
624,233200,544330,238160,549290
625,228240,559210,233200,564170
626,238160,554250,243120,559210
627,238160,559210,243120,564170
628,243120,559210,248080,564170
629,248080,544330,253040,549290
630,248080,549290,253040,554250
631,253040,549290,258000,554250
632,253040,544330,258000,549290
633,248080,554250,253040,559210
634,248080,559210,253040,564170
635,253040,559210,258000,564170
636,253040,554250,258000,559210
637,258000,559210,262960,564170
638,262960,559210,267920,564170
639,262960,554250,267920,559210
640,258000,544330,262960,549290
641,258000,549290,262960,554250
642,248080,564170,253040,569130
643,248080,569130,253040,574090
644,248080,579050,253040,584010
645,253040,579050,258000,584010
646,253040,574090,258000,579050
647,258000,579050,262960,584010
648,262960,579050,267920,584010
649,258000,569130,262960,574090
650,262960,564170,267920,569130
651,267920,564170,272880,569130
652,267920,569130,272880,574090
653,272880,569130,277840,574090
654,272880,564170,277840,569130
655,267920,574090,272880,579050
656,267920,579050,272880,584010
657,272880,579050,277840,584010
658,272880,574090,277840,579050
659,267920,554250,272880,559210
660,267920,559210,272880,564170
661,272880,559210,277840,564170
662,272880,554250,277840,559210
663,248080,584010,253040,588970
664,253040,584010,258000,588970
665,248080,593930,253040,598890
666,248080,598890,253040,603850
667,253040,598890,258000,603850
668,258000,584010,262960,588970
669,258000,588970,262960,593930
670,262960,588970,267920,593930
671,262960,584010,267920,588970
672,253040,479850,258000,484810
673,258000,474890,262960,479850
674,262960,479850,267920,484810
675,262960,464970,267920,469930
676,248080,484810,253040,489770
677,253040,489770,258000,494730
678,253040,484810,258000,489770
679,258000,484810,262960,489770
680,258000,489770,262960,494730
681,262960,489770,267920,494730
682,248080,514570,253040,519530
683,248080,519530,253040,524490
684,253040,514570,258000,519530
685,248080,524490,253040,529450
686,248080,529450,253040,534410
687,248080,534410,253040,539370
688,248080,539370,253040,544330
689,253040,539370,258000,544330
690,258000,539370,262960,544330
691,262960,539370,267920,544330
692,262960,529450,267920,534410
693,168720,311210,173680,316170
694,173680,321130,178640,326090
695,178640,306250,183600,311210
696,183600,306250,188560,311210
697,193520,331050,198480,336010
698,188560,336010,193520,340970
699,193520,340970,198480,345930
700,193520,336010,198480,340970
701,188560,306250,193520,311210
702,193520,306250,198480,311210
703,203440,321130,208400,326090
704,203440,316170,208400,321130
705,198480,306250,203440,311210
706,198480,311210,203440,316170
707,168720,355850,173680,360810
708,168720,360810,173680,365770
709,178640,355850,183600,360810
710,183600,360810,188560,365770
711,183600,355850,188560,360810
712,178640,350890,183600,355850
713,183600,345930,188560,350890
714,168720,370730,173680,375690
715,173680,370730,178640,375690
716,173680,365770,178640,370730
717,168720,375690,173680,380650
718,173680,380650,178640,385610
719,183600,375690,188560,380650
720,178640,370730,183600,375690
721,183600,370730,188560,375690
722,183600,365770,188560,370730
723,188560,365770,193520,370730
724,188560,375690,193520,380650
725,188560,380650,193520,385610
726,193520,375690,198480,380650
727,188560,355850,193520,360810
728,203440,360810,208400,365770
729,203440,350890,208400,355850
730,203440,345930,208400,350890
731,208400,365770,213360,370730
732,208400,380650,213360,385610
733,173680,390570,178640,395530
734,168720,395530,173680,400490
735,178640,395530,183600,400490
736,178640,400490,183600,405450
737,183600,400490,188560,405450
738,183600,395530,188560,400490
739,178640,390570,183600,395530
740,183600,390570,188560,395530
741,168720,410410,173680,415370
742,173680,405450,178640,410410
743,178640,405450,183600,410410
744,183600,405450,188560,410410
745,193520,420330,198480,425290
746,193520,415370,198480,420330
747,188560,385610,193520,390570
748,188560,390570,193520,395530
749,193520,385610,198480,390570
750,188560,395530,193520,400490
751,193520,395530,198480,400490
752,198480,395530,203440,400490
753,203440,400490,208400,405450
754,203440,395530,208400,400490
755,203440,390570,208400,395530
756,203440,385610,208400,390570
757,168720,425290,173680,430250
758,173680,430250,178640,435210
759,178640,435210,183600,440170
760,173680,455050,178640,460010
761,178640,455050,183600,460010
762,178640,460010,183600,464970
763,183600,460010,188560,464970
764,183600,455050,188560,460010
765,188560,450090,193520,455050
766,193520,450090,198480,455050
767,188560,455050,193520,460010
768,188560,460010,193520,464970
769,193520,455050,198480,460010
770,198480,460010,203440,464970
771,203440,460010,208400,464970
772,193520,425290,198480,430250
773,198480,440170,203440,445130
774,203440,440170,208400,445130
775,198480,425290,203440,430250
776,203440,425290,208400,430250
777,208400,425290,213360,430250
778,208400,430250,213360,435210
779,213360,425290,218320,430250
780,208400,435210,213360,440170
781,213360,435210,218320,440170
782,223280,440170,228240,445130
783,218320,425290,223280,430250
784,223280,425290,228240,430250
785,208400,445130,213360,450090
786,208400,450090,213360,455050
787,213360,450090,218320,455050
788,213360,445130,218320,450090
789,213360,460010,218320,464970
790,218320,455050,223280,460010
791,218320,460010,223280,464970
792,218320,450090,223280,455050
793,223280,450090,228240,455050
794,223280,445130,228240,450090
795,228240,445130,233200,450090
796,228240,450090,233200,455050
797,233200,450090,238160,455050
798,228240,460010,233200,464970
799,233200,460010,238160,464970
800,233200,455050,238160,460010
801,243120,455050,248080,460010
802,238160,445130,243120,450090
803,243120,450090,248080,455050
804,243120,445130,248080,450090
805,228240,425290,233200,430250
806,233200,430250,238160,435210
807,228240,435210,233200,440170
808,228240,440170,233200,445130
809,238160,435210,243120,440170
810,238160,440170,243120,445130
811,243120,435210,248080,440170
812,208400,390570,213360,395530
813,248080,455050,253040,460010
814,248080,460010,253040,464970
815,253040,460010,258000,464970
816,253040,455050,258000,460010
817,24880,375690,27360,378170
818,24880,378170,27360,380650
819,27360,378170,29840,380650
820,27360,375690,29840,378170
821,19920,370730,22400,373210
822,19920,373210,22400,375690
823,22400,373210,24880,375690
824,39760,365770,42240,368250
825,39760,368250,42240,370730
826,42240,368250,44720,370730
827,42240,365770,44720,368250
828,44720,373210,47200,375690
829,44720,365770,47200,368250
830,44720,368250,47200,370730
831,47200,368250,49680,370730
832,47200,365770,49680,368250
833,49680,360810,52160,363290
834,49680,363290,52160,365770
835,52160,363290,54640,365770
836,52160,360810,54640,363290
837,59600,360810,62080,363290
838,59600,363290,62080,365770
839,62080,363290,64560,365770
840,62080,360810,64560,363290
841,59600,383130,62080,385610
842,62080,383130,64560,385610
843,62080,380650,64560,383130
844,59600,368250,62080,370730
845,62080,368250,64560,370730
846,79440,375690,81920,378170
847,81920,378170,84400,380650
848,81920,375690,84400,378170
849,79440,383130,81920,385610
850,81920,383130,84400,385610
851,81920,380650,84400,383130
852,24880,395530,27360,398010
853,24880,398010,27360,400490
854,27360,398010,29840,400490
855,27360,395530,29840,398010
856,19920,390570,22400,393050
857,19920,393050,22400,395530
858,22400,393050,24880,395530
859,22400,390570,24880,393050
860,24880,385610,27360,388090
861,24880,388090,27360,390570
862,27360,388090,29840,390570
863,39760,410410,42240,412890
864,39760,412890,42240,415370
865,42240,412890,44720,415370
866,42240,410410,44720,412890
867,32320,385610,34800,388090
868,29840,393050,32320,395530
869,32320,393050,34800,395530
870,34800,390570,37280,393050
871,34800,393050,37280,395530
872,37280,393050,39760,395530
873,37280,390570,39760,393050
874,34800,395530,37280,398010
875,34800,398010,37280,400490
876,37280,398010,39760,400490
877,37280,395530,39760,398010
878,44720,385610,47200,388090
879,44720,388090,47200,390570
880,47200,388090,49680,390570
881,47200,385610,49680,388090
882,54640,425290,57120,427770
883,57120,427770,59600,430250
884,57120,425290,59600,427770
885,64560,440170,67040,442650
886,64560,442650,67040,445130
887,67040,440170,69520,442650
888,64560,437690,67040,440170
889,67040,437690,69520,440170
890,67040,435210,69520,437690
891,64560,425290,67040,427770
892,64560,427770,67040,430250
893,67040,425290,69520,427770
894,76960,445130,79440,447610
895,74480,455050,76960,457530
896,81920,457530,84400,460010
897,84400,460010,86880,462490
898,84400,462490,86880,464970
899,84400,457530,86880,460010
900,86880,457530,89360,460010
901,79440,445130,81920,447610
902,86880,447610,89360,450090
903,86880,445130,89360,447610
904,72000,427770,74480,430250
905,72000,425290,74480,427770
906,69520,430250,72000,432730
907,72000,432730,74480,435210
908,72000,430250,74480,432730
909,74480,430250,76960,432730
910,74480,432730,76960,435210
911,76960,432730,79440,435210
912,76960,430250,79440,432730
913,74480,425290,76960,427770
914,74480,427770,76960,430250
915,76960,427770,79440,430250
916,76960,425290,79440,427770
917,69520,437690,72000,440170
918,72000,437690,74480,440170
919,72000,435210,74480,437690
920,69520,440170,72000,442650
921,69520,442650,72000,445130
922,72000,442650,74480,445130
923,72000,440170,74480,442650
924,74480,440170,76960,442650
925,76960,442650,79440,445130
926,76960,440170,79440,442650
927,79440,435210,81920,437690
928,79440,437690,81920,440170
929,79440,440170,81920,442650
930,79440,442650,81920,445130
931,81920,440170,84400,442650
932,84400,440170,86880,442650
933,84400,442650,86880,445130
934,86880,442650,89360,445130
935,86880,440170,89360,442650
936,79440,430250,81920,432730
937,79440,432730,81920,435210
938,81920,432730,84400,435210
939,86880,432730,89360,435210
940,49680,385610,52160,388090
941,49680,388090,52160,390570
942,52160,388090,54640,390570
943,52160,385610,54640,388090
944,49680,393050,52160,395530
945,52160,393050,54640,395530
946,52160,390570,54640,393050
947,54640,385610,57120,388090
948,57120,388090,59600,390570
949,57120,385610,59600,388090
950,59600,385610,62080,388090
951,59600,388090,62080,390570
952,62080,388090,64560,390570
953,62080,385610,64560,388090
954,49680,405450,52160,407930
955,49680,407930,52160,410410
956,52160,407930,54640,410410
957,59600,420330,62080,422810
958,59600,422810,62080,425290
959,62080,422810,64560,425290
960,62080,420330,64560,422810
961,64560,415370,67040,417850
962,67040,417850,69520,420330
963,67040,415370,69520,417850
964,69520,410410,72000,412890
965,69520,412890,72000,415370
966,72000,412890,74480,415370
967,69520,415370,72000,417850
968,72000,417850,74480,420330
969,72000,415370,74480,417850
970,84400,415370,86880,417850
971,84400,417850,86880,420330
972,86880,417850,89360,420330
973,86880,415370,89360,417850
974,69520,390570,72000,393050
975,69520,393050,72000,395530
976,72000,390570,74480,393050
977,74480,390570,76960,393050
978,74480,393050,76960,395530
979,74480,385610,76960,388090
980,74480,388090,76960,390570
981,76960,385610,79440,388090
982,79440,395530,81920,398010
983,81920,398010,84400,400490
984,81920,395530,84400,398010
985,79440,385610,81920,388090
986,81920,388090,84400,390570
987,81920,385610,84400,388090
988,84400,390570,86880,393050
989,84400,393050,86880,395530
990,86880,393050,89360,395530
991,91840,390570,94320,393050
992,94320,390570,96800,393050
993,94320,393050,96800,395530
